import time: self [us] | cumulative | imported package
import time:       224 |        224 | winreg
import time:       340 |        340 |   _io
import time:        50 |         50 |   marshal
import time:       454 |        454 |   nt
import time:      2047 |       2891 | _frozen_importlib_external
import time:      4305 |       4305 |   time
import time:      1378 |       5683 | zipimport
import time:       127 |        127 |     _codecs
import time:      1016 |       1142 |   codecs
import time:      3477 |       3477 |   encodings.aliases
import time:      5997 |      10616 | encodings
import time:      6066 |       6066 | encodings.utf_8
import time:      3592 |       3592 | encodings.cp1252
import time:       186 |        186 | _signal
import time:        79 |         79 |     _abc
import time:       472 |        551 |   abc
import time:       371 |        921 | io
import time:       178 |        178 |       _stat
import time:       335 |        512 |     stat
import time:      2065 |       2065 |     _collections_abc
import time:       372 |        372 |       genericpath
import time:       636 |        636 |       _winapi
import time:       978 |       1984 |     ntpath
import time:      5596 |      10157 |   os
import time:       368 |        368 |   _sitebuiltins
import time:       187 |        187 |   errno
import time:      3360 |       3360 |   encodings.utf_8_sig
import time:      9870 |       9870 |   _distutils_hack
import time:      3247 |       3247 |     pywin32_system32
import time:      4285 |       7532 |   pywin32_bootstrap
import time:      5631 |       5631 |   sitecustomize
import time:      1560 |       1560 |   usercustomize
import time:      8147 |      46809 | site
import time:      4512 |       4512 | linecache
import time:      3441 |       3441 |         toolbox_app
import time:      5752 |       9192 |       toolbox_app.tools
import time:      2583 |       2583 |         __future__
import time:       758 |        758 |                     itertools
import time:      7743 |       7743 |                     keyword
import time:       518 |        518 |                       _operator
import time:      7137 |       7655 |                     operator
import time:      9857 |       9857 |                     reprlib
import time:       290 |        290 |                     _collections
import time:      6579 |      32878 |                   collections
import time:       202 |        202 |                   _functools
import time:      7044 |      40123 |                 functools
import time:      4363 |       4363 |                 types
import time:     11769 |      56255 |               enum
import time:       294 |        294 |                 _sre
import time:      9912 |       9912 |                   re._constants
import time:      3044 |      12955 |                 re._parser
import time:      5587 |       5587 |                 re._casefix
import time:      7654 |      26488 |               re._compiler
import time:      9636 |       9636 |               copyreg
import time:      5660 |      98037 |             re
import time:       224 |        224 |               _json
import time:      4075 |       4299 |             json.scanner
import time:      5334 |     107669 |           json.decoder
