import time: self [us] | cumulative | imported package
import time:       233 |        233 | winreg
import time:       529 |        529 |   _io
import time:        93 |         93 |   marshal
import time:       499 |        499 |   nt
import time:      1426 |       2545 | _frozen_importlib_external
import time:      3165 |       3165 |   time
import time:       591 |       3755 | zipimport
import time:       197 |        197 |     _codecs
import time:      1442 |       1639 |   codecs
import time:      4092 |       4092 |   encodings.aliases
import time:      8740 |      14470 | encodings
import time:      2041 |       2041 | encodings.utf_8
import time:      3741 |       3741 | encodings.cp1252
import time:       464 |        464 | _signal
import time:       332 |        332 |     _abc
import time:      1155 |       1486 |   abc
import time:      1035 |       2521 | io
import time:       149 |        149 |       _stat
import time:       265 |        414 |     stat
import time:      2237 |       2237 |     _collections_abc
import time:       264 |        264 |       genericpath
import time:       264 |        264 |       _winapi
import time:       660 |       1188 |     ntpath
import time:      1735 |       5572 |   os
import time:       262 |        262 |   _sitebuiltins
import time:       193 |        193 |   errno
import time:      7212 |       7212 |   encodings.utf_8_sig
import time:      6422 |       6422 |   _distutils_hack
import time:      2722 |       2722 |     pywin32_system32
import time:      9914 |      12635 |   pywin32_bootstrap
import time:      3085 |       3085 |   sitecustomize
import time:      5213 |       5213 |   usercustomize
import time:      7097 |      47688 | site
import time:      4126 |       4126 | linecache
import time:      2872 |       2872 |         toolbox_app
import time:      3078 |       5949 |       toolbox_app.tools
import time:      6845 |       6845 |       __future__
import time:       432 |        432 |           itertools
import time:      6631 |       6631 |           keyword
import time:     12157 |      12157 |             _operator
import time:      6747 |      18903 |           operator
import time:     11514 |      11514 |           reprlib
import time:       275 |        275 |           _collections
import time:      8742 |      46495 |         collections
import time:      3845 |       3845 |         copyreg
import time:       254 |        254 |           _functools
import time:     14881 |      15134 |         functools
import time:      4459 |       4459 |         types
import time:       165 |        165 |         _typing
import time:      8760 |      78856 |       typing
import time:      2762 |      94412 |     toolbox_app.tools.bth_spreader_padeye
import time:      2600 |      97011 |   toolbox_app.tools.bth_spreader_padeye.backend
import time:      6300 |       6300 |         enum
import time:       276 |        276 |           _sre
import time:     11700 |      11700 |             re._constants
import time:      4188 |      15888 |           re._parser
import time:      3949 |       3949 |           re._casefix
import time:      9757 |      29868 |         re._compiler
import time:      9839 |      46006 |       re
import time:       252 |        252 |         _json
import time:      3849 |       4100 |       json.scanner
import time:     11221 |      61327 |     json.decoder
import time:      4815 |       4815 |     json.encoder
import time:      3137 |      69278 |   json
import time:       245 |        245 |   math
import time:     13496 |      13496 |     textwrap
import time:      3567 |       3567 |     warnings
import time:     11623 |      11623 |     contextlib
import time:      3497 |       3497 |     _colorize
import time:     17551 |      49732 |   traceback
import time:     13053 |      13053 |     http
import time:      3867 |       3867 |         _weakrefset
import time:      3742 |       7609 |       weakref
import time:      9950 |      17558 |     copy
import time:       509 |        509 |       _datetime
import time:      9398 |       9906 |     datetime
import time:     34608 |      34608 |       email
import time:      3819 |       3819 |         urllib
import time:      5924 |       5924 |         ipaddress
import time:     17828 |      27571 |       urllib.parse
import time:      4014 |       4014 |       email._parseaddr
import time:      4712 |      70903 |     email.utils
import time:     13308 |      13308 |       html.entities
import time:     14386 |      27693 |     html
import time:     16937 |      16937 |           email.errors
import time:      3536 |       3536 |               binascii
import time:       190 |        190 |                   _string
import time:      5306 |       5495 |                 string
import time:      8839 |      14333 |               email.quoprimime
import time:       294 |        294 |                     _struct
import time:     16325 |      16618 |                   struct
import time:      9910 |      26527 |                 base64
import time:      2833 |      29360 |               email.base64mime
import time:      4278 |       4278 |                   quopri
import time:      4923 |       9201 |                 email.encoders
import time:     14638 |      23839 |               email.charset
import time:     10333 |      81398 |             email.header
import time:     11529 |      92927 |           email._policybase
import time:      5239 |     115101 |         email.feedparser
import time:     43043 |     158143 |       email.parser
import time:      4437 |       4437 |         email._encoded_words
import time:     45843 |      45843 |         email.iterators
import time:      8147 |      58427 |       email.message
import time:     13119 |      13119 |         _socket
import time:      2995 |       2995 |           select
import time:      6977 |       9971 |         selectors
import time:     83487 |     106577 |       socket
import time:     31256 |      31256 |         _ssl
import time:     10966 |      42221 |       ssl
import time:     11681 |     377047 |     http.client
import time:      2539 |       2539 |         posix
import time:      2211 |       2211 |         posix
import time:       547 |       5297 |       posixpath
import time:      9613 |      14909 |     mimetypes
import time:      2814 |       2814 |       fnmatch
import time:       245 |        245 |       zlib
import time:      7757 |       7757 |         _compression
import time:      3713 |       3713 |         _bz2
import time:      3144 |      14612 |       bz2
import time:      2615 |       2615 |         _lzma
import time:      2943 |       5557 |       lzma
import time:     10275 |      33501 |     shutil
import time:      5721 |       5721 |       threading
import time:      7216 |      12937 |     socketserver
import time:      5143 |     582648 |   http.server
import time:      4275 |       4275 |       glob
import time:     12254 |      16528 |     pathlib._abc
import time:      2753 |       2753 |       pwd
import time:      2470 |       2470 |       grp
import time:      8110 |      13332 |     pathlib._local
import time:      2693 |      32552 |   pathlib
import time:      2846 |       2846 |       importlib
import time:      4324 |       4324 |                     _ast
import time:      6227 |      10551 |                   ast
import time:       122 |        122 |                       _opcode
import time:      2620 |       2620 |                       _opcode_metadata
import time:      4876 |       7617 |                     opcode
import time:      5820 |      13437 |                   dis
import time:       347 |        347 |                   importlib.machinery
import time:      3931 |       3931 |                     token
import time:       127 |        127 |                     _tokenize
import time:      6100 |      10157 |                   tokenize
import time:     10360 |      44851 |                 inspect
import time:     12844 |      57694 |               typing_extensions
import time:      3202 |       3202 |               pydantic_core._pydantic_core
import time:      3701 |       3701 |                     numbers
import time:      6130 |       9830 |                   _decimal
import time:      2741 |      12571 |                 decimal
import time:     22388 |      34959 |               pydantic_core.core_schema
import time:      3204 |      99058 |             pydantic_core
import time:      1408 |     100465 |           pydantic.version
import time:      1915 |     102380 |         pydantic.warnings
import time:      2242 |     104621 |       pydantic._migration
import time:      5918 |       5918 |           typing_inspection
import time:      3304 |       3304 |           dataclasses
import time:     10081 |      10081 |           typing_inspection.typing_objects
import time:      5890 |      25192 |         typing_inspection.introspection
import time:      2719 |       2719 |         pydantic._internal
import time:      4633 |       4633 |             pydantic._internal._namespace_utils
import time:      2895 |       7528 |           pydantic._internal._typing_extra
import time:      3517 |      11045 |         pydantic._internal._repr
import time:      3409 |      42364 |       pydantic.errors
import time:      7815 |     157645 |     pydantic
import time:      1903 |       1903 |         pydantic._internal._internal_dataclass
import time:     10660 |      12563 |       pydantic.aliases
import time:      7261 |       7261 |       pydantic.config
import time:      2948 |      22771 |     pydantic._internal._config
import time:      3185 |       3185 |       pydantic._internal._core_utils
import time:      7863 |       7863 |         pydantic._internal._import_utils
import time:      5728 |      13591 |       pydantic._internal._utils
import time:     18096 |      34871 |     pydantic._internal._decorators
import time:       346 |        346 |           _contextvars
import time:      2307 |       2652 |         contextvars
import time:      6439 |       6439 |         pydantic._internal._forward_ref
import time:      3797 |      12887 |       pydantic._internal._generics
import time:      2945 |       2945 |       pydantic._internal._docs_extraction
import time:      8259 |      24090 |     pydantic._internal._fields
import time:      2894 |       2894 |         pydantic.plugin
import time:      2632 |       5525 |       pydantic.plugin._schema_validator
import time:      2631 |       8156 |     pydantic._internal._mock_val_ser
import time:      5459 |       5459 |         fractions
import time:      5716 |       5716 |           _uuid
import time:      3345 |       9060 |         uuid
import time:      4058 |       4058 |             sysconfig
import time:        66 |         66 |             _sysconfig
import time:      4174 |       8297 |           zoneinfo._tzpath
import time:      5711 |       5711 |           zoneinfo._common
import time:      2307 |       2307 |           _zoneinfo
import time:      2770 |      19083 |         zoneinfo
import time:      2239 |       2239 |         pydantic.annotated_handlers
import time:     10914 |      10914 |         pydantic.functional_validators
import time:      3075 |       3075 |           pydantic._internal._core_metadata
import time:      2608 |       2608 |           pydantic._internal._schema_generation_shared
import time:     13403 |      19086 |         pydantic.json_schema
import time:      2949 |       2949 |         pydantic._internal._discriminated_union
import time:      3068 |       3068 |         pydantic._internal._known_annotated_metadata
import time:      7228 |       7228 |         pydantic._internal._schema_gather
import time:      6545 |      85627 |       pydantic._internal._generate_schema
import time:      3209 |       3209 |       pydantic._internal._signature
import time:      5885 |      94719 |     pydantic._internal._model_construction
import time:     18026 |      18026 |     annotated_types
import time:      4782 |       4782 |     pydantic._internal._validators
import time:     17915 |      17915 |     pydantic.types
import time:      2172 |       2172 |             importlib._abc
import time:       400 |       2572 |           importlib.util
import time:      2845 |       2845 |             zipfile._path.glob
import time:      9511 |      12355 |           zipfile._path
import time:      4919 |      19845 |         zipfile
import time:      2827 |       2827 |         importlib.metadata._meta
import time:      2664 |       2664 |         importlib.metadata._collections
import time:      6924 |       6924 |         importlib.metadata._functools
import time:      2105 |       2105 |         importlib.metadata._itertools
import time:       159 |        159 |                     _bisect
import time:      2192 |       2350 |                   bisect
import time:        80 |         80 |                   _random
import time:      4752 |       7182 |                 random
import time:      4793 |      11974 |               tempfile
