import time: self [us] | cumulative | imported package
import time:      1324 |       1324 | winreg
import time:       651 |        651 |   _io
import time:       117 |        117 |   marshal
import time:       492 |        492 |   nt
import time:      1828 |       3086 | _frozen_importlib_external
import time:      2613 |       2613 |   time
import time:       685 |       3298 | zipimport
import time:       161 |        161 |     _codecs
import time:      1275 |       1436 |   codecs
import time:     14278 |      14278 |   encodings.aliases
import time:     13376 |      29089 | encodings
import time:      3324 |       3324 | encodings.utf_8
import time:     12847 |      12847 | encodings.cp1252
import time:       375 |        375 | _signal
import time:       110 |        110 |     _abc
import time:       569 |        679 |   abc
import time:       826 |       1504 | io
import time:       270 |        270 |       _stat
import time:       847 |       1116 |     stat
import time:      4078 |       4078 |     _collections_abc
import time:       311 |        311 |       genericpath
import time:       296 |        296 |       _winapi
import time:      1465 |       2071 |     ntpath
import time:      2353 |       9617 |   os
import time:       286 |        286 |   _sitebuiltins
import time:       180 |        180 |   errno
import time:     34512 |      34512 |   encodings.utf_8_sig
import time:     11136 |      11136 |   _distutils_hack
import time:      8454 |       8454 |     pywin32_system32
import time:      5073 |      13527 |   pywin32_bootstrap
import time:      2507 |       2507 |   sitecustomize
import time:      1818 |       1818 |   usercustomize
import time:      7811 |      81391 | site
import time:      2994 |       2994 | linecache
import time:      7412 |       7412 |         toolbox_app
import time:      4057 |      11469 |       toolbox_app.tools
import time:      2777 |       2777 |       __future__
import time:       475 |        475 |           itertools
import time:      8249 |       8249 |           keyword
import time:       976 |        976 |             _operator
import time:      3486 |       4462 |           operator
import time:      6697 |       6697 |           reprlib
import time:      1211 |       1211 |           _collections
import time:      7121 |      28213 |         collections
import time:      3356 |       3356 |         copyreg
import time:       191 |        191 |           _functools
import time:      3926 |       4116 |         functools
import time:      2915 |       2915 |         types
import time:       276 |        276 |         _typing
import time:     22242 |      61116 |       typing
import time:      3477 |      78839 |     toolbox_app.tools.bth_spreader_padeye
import time:      2902 |      81740 |   toolbox_app.tools.bth_spreader_padeye.backend
import time:      9665 |       9665 |         enum
import time:       322 |        322 |           _sre
import time:     12485 |      12485 |             re._constants
import time:      3098 |      15582 |           re._parser
import time:      3178 |       3178 |           re._casefix
import time:      3720 |      22800 |         re._compiler
import time:      3871 |      36335 |       re
import time:       297 |        297 |         _json
import time:      8908 |       9205 |       json.scanner
import time:      3796 |      49335 |     json.decoder
import time:      3847 |       3847 |     json.encoder
import time:      4568 |      57749 |   json
import time:       231 |        231 |   math
import time:      8847 |       8847 |     textwrap
import time:      3922 |       3922 |     warnings
import time:      8907 |       8907 |     contextlib
import time:      4587 |       4587 |     _colorize
import time:      5840 |      32101 |   traceback
import time:     10773 |      10773 |     http
import time:      3827 |       3827 |         _weakrefset
import time:      8834 |      12660 |       weakref
import time:      3978 |      16638 |     copy
import time:       377 |        377 |       _datetime
import time:      2440 |       2817 |     datetime
import time:      5582 |       5582 |       email
import time:      2936 |       2936 |         urllib
