table,species,grade,size_classification,Fb_psi,Ft_psi,Fv_psi,Fc_perp_psi,Fc_psi,E_psi,Emin_psi,G_specific_gravity,grading_rules_agency
4A,ALASKA CEDAR,Construction,"2"" - 4"" wide",900,500,165,525,950,1200000,440000,0.47,WCLIB
4A,ALASKA CEDAR,No. 1,"2"" & wider",975,525,165,525,900,1300000,470000,0.47,WCLIB
4A,ALASKA CEDAR,No. 2,"2"" & wider",800,425,165,525,750,1200000,440000,0.47,WCLIB
4A,ALASKA CEDAR,No. 3,"2"" & wider",450,250,165,525,425,1100000,400000,0.47,WCLIB
4A,ALASKA CEDAR,Select Structural,"2"" & wider",1150,625,165,525,1000,1400000,510000,0.47,WCLIB
4A,ALASKA CEDAR,Standard,"2"" - 4"" wide",500,275,165,525,775,1100000,400000,0.47,WCLIB
4A,ALASKA CEDAR,Stud,"2"" & wider",625,350,165,525,475,1100000,400000,0.47,WCLIB
4A,ALASKA CEDAR,Utility,"2"" - 4"" wide",250,125,165,525,500,1000000,370000,0.47,WCLIB
4A,ALASKA HEMLOCK,Construction,"2"" - 4"" wide",950,550,185,440,1250,1400000,510000,0.46,WWPA
4A,ALASKA HEMLOCK,No. 1,"2"" & wider",900,550,185,440,1100,1600000,580000,0.46,WWPA
4A,ALASKA HEMLOCK,No. 2,"2"" & wider",825,475,185,440,1050,1500000,550000,0.46,WWPA
4A,ALASKA HEMLOCK,No. 3,"2"" & wider",475,275,185,440,600,1400000,510000,0.46,WWPA
4A,ALASKA HEMLOCK,Select Structural,"2"" & wider",1300,825,185,440,1200,1700000,620000,0.46,WWPA
4A,ALASKA HEMLOCK,Standard,"2"" - 4"" wide",525,300,185,440,1050,1300000,470000,0.46,WWPA
4A,ALASKA HEMLOCK,Stud,"2"" & wider",650,375,185,440,650,1400000,510000,0.46,WWPA
4A,ALASKA HEMLOCK,Utility,"2"" - 4"" wide",250,150,185,440,700,1200000,440000,0.46,WWPA
4A,ALASKA SPRUCE,Construction,"2"" - 4"" wide",1000,575,160,330,1250,1300000,470000,0.41,WWPA
4A,ALASKA SPRUCE,No. 1,"2"" & wider",950,600,160,330,1100,1500000,550000,0.41,WWPA
4A,ALASKA SPRUCE,No. 2,"2"" & wider",875,500,160,330,1050,1400000,510000,0.41,WWPA
